dataset,variant,accuracy_mean,accuracy_sd,macro_f1_mean,macro_f1_sd
nasa_fd001,A1_single,0.2407406666666667,0.016037635777549422,0.22349866666666665,0.02035044228839593
nasa_fd001,A2_multi,0.222222,0.0,0.20000000000000004,3.3993498887762956e-17
nasa_fd001,A3_multi_verify,0.222222,0.0,0.20000000000000004,3.3993498887762956e-17
nasa_fd001,A4_full,0.6574073333333333,0.032074694204829605,0.6221276666666666,0.035378292445132714
synthetic,A1_single,0.40740766666666667,0.01603763577754944,0.3095816666666667,0.027543747753951943
synthetic,A2_multi,0.388889,0.027777999999999997,0.3142256666666667,0.024813248524393847
synthetic,A3_multi_verify,0.388889,0.027777999999999997,0.3142256666666667,0.024813248524393847
synthetic,A4_full,1.0,0.0,1.0,0.0
