dataset,experiment,use_memory,calls,success_rate,latency_mean_s,latency_sd_s,input_tokens,output_tokens,estimated_cost_usd
nasa_fd001,ablation_no_memory,False,540,1.0,3.326311575851809,1.0021126587096516,458460,98694,0.3412944
nasa_fd001,ablation_with_memory,True,540,1.0,3.4042605748111208,1.1261708290713026,558330,100717,0.3844791999999997
nasa_fd001,main_full,True,2500,1.0,3.3460480604919822,1.0940263214450539,2584850,466262,1.7799591999999984
nasa_fd001,temporal_stability,True,75,1.0,3.24180086057313,0.925796397530592,77685,13997,0.0534691999999999
nasa_fd001,trace_sensitivity,True,720,1.0,3.2632262317791794,0.7963645234955431,744390,134098,0.5123127999999996
synthetic,ablation_no_memory,False,540,1.0,3.1118561780944356,1.0365351230744086,226260,97103,0.2458688
synthetic,ablation_with_memory,True,540,1.0,3.02758922299819,1.1106312149319324,324075,95947,0.283145199999999
synthetic,main_full,True,2500,1.0,3.0210798463192083,1.1981056374836376,1500475,445464,1.3129323999999924
synthetic,trace_sensitivity,True,720,1.0,3.0239432950736562,0.7527652264159698,432090,127516,0.3768615999999973
