dataset,experiment,use_memory,n_traces,parse_success_rate,grounded_mean,grounded_sd,unsupported_mean,unsupported_sd,contradiction_mean,invalid_feature_claims,verifiable_claims,latency_mean_s
nasa_fd001,ablation_no_memory,False,540,1.0,1.0,0.0,0.0,0.0,0.0,0,2005,3.326311575851809
nasa_fd001,ablation_with_memory,True,540,1.0,0.9962962962962963,0.030230794132819507,0.003703703703703704,0.030230794132819497,0.003703703703703704,0,2055,3.4042605748111208
nasa_fd001,main_full,True,2500,1.0,0.9952666666666666,0.03543833635495288,0.004733333333333333,0.03543833635495285,0.004733333333333333,0,9491,3.3460480604919822
nasa_fd001,trace_sensitivity,True,720,1.0,0.9938657407407407,0.045791285039549205,0.0061342592592592594,0.04579128503954919,0.0061342592592592594,0,2714,3.2632262317791794
synthetic,ablation_no_memory,False,540,1.0,0.9503086419753086,0.1361139683361658,0.04969135802469136,0.13611396833616574,0.04969135802469136,0,2044,3.1118561780944356
synthetic,ablation_with_memory,True,540,1.0,0.9680555555555556,0.12442663802355744,0.03194444444444444,0.12442663802355743,0.03194444444444444,0,2105,3.02758922299819
synthetic,main_full,True,2500,1.0,0.982,0.09083789314682926,0.018,0.09083789314682927,0.018,0,9732,3.0210798463192083
synthetic,trace_sensitivity,True,720,1.0,0.9982638888888888,0.023399035750506218,0.001736111111111111,0.023399035750506246,0.001736111111111111,0,2796,3.0239432950736562
