dataset,n_traces,any_overlap_top3_rate,any_overlap_top5_rate,mean_llm_fraction_in_shap_top3,mean_llm_fraction_in_shap_top5,shap_top1_used_rate,grounded_rate,unsupported_rate
nasa_fd001,2500,0.118,0.268,0.03463333333333333,0.08506666666666667,0.0308,0.9952666666666666,0.004733333333333333
synthetic,2500,0.8932,1.0,0.3801333333333333,0.6081333333333333,0.4128,0.982,0.018
